model,feature_set,accuracy,precision,recall,f1,roc_auc
gradient_boosting,full_features,0.7572746628814763,0.5333333333333333,0.6844919786096256,0.5995316159250585,0.8282621612544885
gradient_boosting,selected_features,0.7650816181689141,0.5439672801635992,0.7112299465240641,0.6164542294322132,0.8338978015448604
logistic_regression,full_features,0.7366926898509581,0.5028142589118199,0.7165775401069518,0.5909592061742006,0.8155312717972564
logistic_regression,selected_features,0.7402413058907026,0.5072463768115942,0.7486631016042781,0.6047516198704104,0.8229739853780774
random_forest,full_features,0.765791341376863,0.5480349344978166,0.6711229946524064,0.6033653846153846,0.8280154486036839
random_forest,selected_features,0.7665010645848119,0.5490196078431373,0.6737967914438503,0.6050420168067226,0.8300046500813765
