model,accuracy,precision,recall,f1,roc_auc
xgboost,0.7721788502484032,0.5565031982942431,0.6978609625668449,0.6192170818505338,0.8335942545661216
gradient_boosting,0.7650816181689141,0.5439672801635992,0.7112299465240641,0.6164542294322132,0.8338978015448604
notebook_voting_ensemble,0.7537260468417317,0.5258126195028681,0.7352941176470589,0.6131549609810479,0.8333178330620786
adaboost,0.7444996451383961,0.512589928057554,0.7620320855614974,0.6129032258064516,0.8295809760004134
teacher_voting_ensemble,0.7707594038325053,0.5555555555555556,0.6818181818181818,0.6122448979591837,0.8329174093879975
random_forest,0.7686302342086586,0.552863436123348,0.6711229946524064,0.606280193236715,0.8302371541501978
logistic_regression,0.7402413058907026,0.5072463768115942,0.7486631016042781,0.6047516198704104,0.8229739853780774
lightgbm,0.7707594038325053,0.5583524027459954,0.6524064171122995,0.6017262638717632,0.8234803275723992
decision_tree,0.7388218594748048,0.5065502183406113,0.6203208556149733,0.5576923076923077,0.7987496447854504
